Bisection:            3.854101963369302   -1.9322193622883788e-08
FalsePosition:        3.8541019661349116   -7.69919239473893e-10
ModifyFalsePosition:  -2.854101968279299   1.3615066407623999e-08
Secant:               -2.8541019662496847   1.7763568394002505e-15
Newton:               -3.0820385929856524   1.5810004816386325
FixPoint:             0   -11

Bisection:            -2.8541019653782356   -5.845857131703269e-09
FalsePosition:        -2.8541019649845447   -8.486814806474285e-09
ModifyFalsePosition:  -2.8541019679706685   1.154471185316197e-08
Secant:               -2.8541019662496847   1.7763568394002505e-15
Newton:               -4.087884064670332   9.798680190855968
FixPoint:             0   -11

Bisection:            -2.8541019618254815   -2.9678457025283933e-08
FalsePosition:        -2.8541019571677375   -6.092355242515168e-08
ModifyFalsePosition:  -2.8541019642545677   -1.3383649744014292e-08
Secant:               3.8541019662496847   1.7763568394002505e-15
Newton:               -4.383565830545904   12.599215221275507
FixPoint:             0   -11

Bisection:            -2.8541019682018645   1.3095622364289738e-08
FalsePosition:        -2.8541019624173622   -2.5707999284918515e-08
ModifyFalsePosition:  -2.8541019682531146   1.3439418466987263e-08
Secant:               -2.8541019662496847   1.7763568394002505e-15
Newton:               -4.661744096429514   15.39360211702494
FixPoint:             0   -11

Bisection:            3.854101965489842   -5.097181343671764e-09
FalsePosition:        -2.8541019631401645   -2.0859294735942058e-08
ModifyFalsePosition:  3.854101964296006   -1.3105672991287065e-08
Secant:               -2.854101966249682   -1.7763568394002505e-14
Newton:               2.6846815666844925   -6.477166452188992
FixPoint:             0   -11

Bisection:            3.8541019680887607   1.2336897725617746e-08
FalsePosition:        3.8541019624140698   -2.5730086505859617e-08
ModifyFalsePosition:  -2.8541019631743985   -2.0629645547387554e-08
Secant:               3.8541019662496847   1.7763568394002505e-15
Newton:               -4.27744982463222   11.57402682687843
FixPoint:             0   -11

Bisection:            3.854101965424828   -5.533305369453956e-09
FalsePosition:        3.854101964526755   -1.1557764523217884e-08
ModifyFalsePosition:  -2.8541019634598164   -1.8715004657110512e-08
Secant:               -2.8541019662496847   1.7763568394002505e-15
Newton:               -4.865969505372664   17.543628732589358
FixPoint:             0   -11

Bisection:            3.854101962044269   -2.8210784819293622e-08
FalsePosition:        -2.8541019557323857   -7.055218631535354e-08
ModifyFalsePosition:  3.8541019642886565   -1.3154975775364619e-08
Secant:               3.8541019662496843   -1.7763568394002505e-15
Newton:               3.854101966250779   7.341682817241235e-12
FixPoint:             0   -11

Bisection:            3.8541019657829527   -3.1309319581396267e-09
FalsePosition:        3.8541019632788256   -1.992912856962903e-08
ModifyFalsePosition:  3.8541019692239904   1.9952251406607502e-08
Secant:               3.8541019662496847   1.7763568394002505e-15
Newton:               -2.9506096566776874   0.6567070027573081
FixPoint:             0   -11

Bisection:            -2.8541019689013583   1.7787968431548506e-08
FalsePosition:        -2.8541019594465054   -4.563711186733599e-08
ModifyFalsePosition:  3.8541019641757988   -1.391204840217597e-08
Secant:               -2.8541019662496843   -1.7763568394002505e-15
Newton:               -3.881075858373313   7.9438256768214615
FixPoint:             0   -11

